area_name,latitude,longitude,total_routes,grade_distribution,type_distribution,bbox,depth,is_leaf,url
Fars,29.74608325,52.65879005,64,"{""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1}","{""Sport"": {""count"": 1, ""pct"": ""100.0%""}}","30.0174836,52.3988518,29.4746829,52.9187283",2,0,https://www.thecrag.com/en/climbing/iran/area/5956845450
Chahar Mahal o Bakhtiari,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956838124
Gilan,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956837626
Hamedan,34.7497734,48.5580572,25,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1}","{""Sport"": {""count"": 1, ""pct"": ""100.0%""}}","34.7509723,48.5568985,34.7485745,48.5592159",2,0,https://www.thecrag.com/en/climbing/iran/area/5956837932
Hormozgan,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956845504
Ilam,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956837836
Androkh,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/10583317719
Anderokh,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/10583754615
Khorasan the central,36.60932555,58.9406759,1,"{""5.11a"": 1}","{""Sport"": {""count"": 1, ""pct"": ""100.0%""}}","36.6535581,58.8922674,36.565093,58.9890844",2,0,https://www.thecrag.com/en/climbing/iran/area/5956838364
Khorasan the northern,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956838316
Khorasan the southern,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956838412
Kohkiluyeh o Boyer Ahmad,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956838172
Kordestan,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956837734
Kerman,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956845552
Chalabeh,34.38673587668,47.28716590770,27,"{""5.10d"": 1, ""5.11b"": 1, ""5.11d"": 1, ""5.12b"": 1, ""5.12d"": 1, ""5.13b"": 1, ""5.13d"": 1, ""5.14b"": 1}",{},"34.3876922,47.2826432,34.3858329,47.2912262",2,0,https://www.thecrag.com/en/climbing/iran/area/10979496759
Cheshme Sohrab,34.5447922,47.3719478,34,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1}","{""Sport"": {""count"": 3, ""pct"": ""100.0%""}}","34.5473373,47.3688257,34.5422471,47.3750699",2,0,https://www.thecrag.com/en/climbing/iran/area/10983717618
Khuzestan,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956838076
Lorestan,33.5172738,48.21105765,2,"{""5.11b"": 1, ""5.11d"": 1, ""5.12b"": 1}","{""Sport"": {""count"": 1, ""pct"": ""100.0%""}}","33.5383121,48.1775837,33.4962355,48.2445316",2,0,https://www.thecrag.com/en/climbing/iran/area/5956837884
Markazi,34.0729393,49.3281516,36,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1, ""5.13c"": 1, ""5.14a"": 1}","{""Sport"": {""count"": 2, ""pct"": ""66.7%""}, ""Aid"": {""count"": 1, ""pct"": ""33.3%""}}","34.076814,49.3237742,33.9696846,50.0540239",2,0,https://www.thecrag.com/en/climbing/iran/area/5956837788
Qazvin,32.16922275,53.65364985,0,{},{},,2,0,https://www.thecrag.com/en/climbing/iran/area/5956837980
